,Ticker,2020-02,2020-06-08 12:22:55.456383,Volume,Ratio1 in 5 yr,Ratio2 since Feb,Ratio1/Ratio2,Sector,Industry
2235,TFC,53.836350123087556,45.90999984741211,5743249.0,1.6552570236217314,0.8527695459006189,1.9410367450136798,,
2245,TEUM,0.7399999996026357,0.6317999958992004,2328259.0,0.03928832799516363,0.8537837787006265,0.04601671872351163,,
2246,GOGL,4.596446832021077,3.9249999523162837,223062.0,0.2548695112266357,0.853920451112984,0.2984698526595113,,
2251,VOYA,62.10916455586752,53.06000137329102,656765.0,1.499706398418265,0.8543022877978542,1.7554751050521908,,
2255,FTXR,25.1622273127238,21.5,16421.0,1.467344127813914,0.8544553601233895,1.7172858832578668,,
2256,AT,2.486666679382324,2.125,289585.0,0.969908608094436,0.8545576363808597,1.134983255432717,,
2259,CUZ,41.99025853474935,35.88999938964844,487978.0,1.4466558174015802,0.8547220389211798,1.6925453557129897,,
2262,MSTR,149.02000172932944,127.38999938964844,34167.0,0.926639926231456,0.8548516837426403,1.0839774242176357,,
2265,FFHL,2.9283334016799927,2.5037999153137207,12509.0,1.1130376822996262,0.855025562962634,1.3017595385604486,,
2271,XBIO,1.2400000095367432,1.0607999563217163,287108.0,0.00464122089749789,0.8554838291638602,0.005425258478625089,,
2272,AE,32.76100254058838,28.03000068664551,10546.0,0.766125549300355,0.8555904432997274,0.8954349073204511,,
2280,BPTH,6.5250000953674325,5.5900001525878915,73902.0,0.013869385862541769,0.8567049917066875,0.01618922032298636,,
2285,IGF,49.653332392374665,42.560001373291016,299617.0,1.3773823888558858,0.8571429010437779,1.606946038027721,,
2292,FEP,37.674777348836265,32.310001373291016,78926.0,1.4399869760223871,0.8576029812765181,1.6790834540698618,,
2293,NI,29.849698702494308,25.60000038146973,900420.0,2.1064671709052285,0.8576301099927195,2.4561488062996184,,
2301,DVOL,24.00764242808024,20.61000061035156,38378.0,2.6366162499311763,0.8584766568434612,3.0712730846121885,,
2304,VVNT,16.356166680653892,14.050000190734865,535243.0,64.76602945677013,0.8590032411049733,75.3967230361771,,
2306,PRMW,15.182232856750488,13.045000076293945,1473483.0,8.643449349373421,0.8592280331475575,10.059552314314514,,
2310,UAE,12.85683329900106,11.04990005493164,18848.0,0.8480983996545193,0.8594573638743678,0.9867835628650116,,
2314,CTIC,1.2916666666666667,1.110200047492981,203245.0,0.05884107963902493,0.8595097141881143,0.06845888844270448,,
2323,TRI,80.8607063293457,69.54000091552734,276838.0,2.3652944222480925,0.8599974458829346,2.7503505197270823,,
2326,TEX,25.334659576416016,21.795000076293945,932572.0,0.9826796202237168,0.8602839130541493,1.1422736207341628,,
2327,CDE,6.1366666952768965,5.28000020980835,3017703.0,1.1470265096550576,0.8604019856369448,1.3331286175565114,,
2332,PRMW,15.182232856750488,13.0649995803833,1660009.0,8.643449349373421,0.860545329771714,10.044153457513225,,
2344,TRT,3.7016666332880654,3.190000057220459,4442.0,1.3177656360972247,0.8617739989154263,1.5291313473784085,,
2345,ICCC,5.18666672706604,4.470200061798097,13374.0,1.0107789165377117,0.8618637550916578,1.1727827171827374,,
2351,GJT,21.8039010365804,18.799999237060547,7341.0,1.4275667949445183,0.8622309927714215,1.6556662969814726,,
2352,OCFC,23.17216555277507,19.979999542236328,207055.0,1.5873509401488546,0.8622413600805451,1.8409589398501764,,
2354,EGLE,3.2583334048589068,2.809999942779541,1079496.0,0.012703662262776434,0.8624040555792111,0.014730522404888684,,
